Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;08;20;11;00;11.98;32.00;1021.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;616.77;30.87;211.65;33.36;214.89;63.82;191.06;30.24
2018;08;20;12;00;13.05;33.00;1021.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;674.62;28.50;207.86;29.34;209.40;50.34;196.62;26.64
2018;08;20;13;00;13.58;33.00;1020.40;0.00;0.00;0.00;0.00;0.00;0.00;60.00;673.73;25.15;203.63;24.82;203.96;38.60;199.62;23.76
2018;08;20;14;00;13.87;33.00;1020.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;618.55;21.46;202.69;20.06;201.04;29.47;205.31;24.12
2018;08;20;15;00;13.89;32.00;1019.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;509.08;17.88;205.02;15.62;205.97;23.11;217.41;23.04
2018;08;20;16;00;13.64;33.00;1019.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;356.00;13.85;207.90;10.50;210.96;19.08;234.21;20.88
2018;08;20;17;00;12.78;39.00;1019.40;0.00;0.00;23.00;8.00;23.00;0.00;22.55;178.00;8.09;200.85;4.02;206.57;18.95;255.70;16.56
2018;08;20;18;00;11.67;37.00;1019.10;0.00;0.00;56.00;31.00;56.00;0.00;0.00;16.91;2.88;180.00;1.53;45.00;22.32;270.00;6.12
2018;08;20;19;00;10.48;41.00;1019.10;0.00;0.00;22.00;4.00;22.00;0.00;0.00;0.00;1.44;360.00;6.84;360.00;26.76;275.40;16.92
2018;08;20;20;00;9.75;43.00;1019.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.50;328.39;13.10;339.08;32.06;271.93;17.28
2018;08;20;21;00;8.76;45.00;1019.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.44;316.40;20.30;322.93;37.94;265.10;19.08
2018;08;20;22;00;8.89;44.00;1018.50;0.00;0.00;74.00;13.00;74.00;0.00;0.00;0.00;13.78;303.27;23.98;305.84;46.23;250.44;24.12
2018;08;20;23;00;6.56;51.00;1018.20;0.00;0.00;36.00;0.00;36.00;0.00;0.00;0.00;16.90;296.57;29.32;294.68;55.38;243.77;26.64
2018;08;21;00;00;5.00;56.00;1017.40;0.00;0.00;31.00;0.00;31.00;0.00;0.00;0.00;18.79;290.17;32.76;282.05;64.11;237.38;25.56
2018;08;21;01;00;3.98;59.00;1016.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.19;281.31;34.22;271.81;69.48;233.43;28.08
2018;08;21;02;00;3.37;62.00;1016.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.93;273.95;36.75;267.75;71.80;231.92;26.64
2018;08;21;03;00;4.17;60.00;1016.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;21.96;270.00;37.12;267.22;70.79;232.02;28.80
2018;08;21;04;00;4.82;58.00;1015.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.05;268.21;34.23;267.59;69.34;232.59;29.52
2018;08;21;05;00;4.23;60.00;1016.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;22.71;267.27;33.96;265.14;68.18;233.37;29.52
2018;08;21;06;00;3.81;61.00;1015.90;0.00;0.00;0.00;0.00;0.00;0.00;32.57;0.00;22.35;267.23;34.39;263.99;66.62;234.68;28.80
2018;08;21;07;00;4.04;61.00;1016.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;16.02;23.08;266.42;34.83;262.87;64.30;233.19;24.84
2018;08;21;08;00;7.05;53.00;1016.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;170.88;23.89;263.95;33.36;263.18;60.34;226.21;24.84
2018;08;21;09;00;11.19;48.00;1015.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;352.44;26.05;258.85;34.39;259.75;56.90;218.32;27.00
2018;08;21;10;00;13.11;45.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;503.74;26.46;255.02;34.84;256.25;54.59;218.31;29.16
2018;08;21;11;00;14.83;41.00;1014.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;610.54;24.63;254.74;31.96;255.65;49.93;227.34;28.08
2018;08;21;12;00;15.93;39.00;1013.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;666.61;23.93;254.29;30.91;255.15;38.82;241.77;28.80
2018;08;21;13;00;16.43;39.00;1012.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;665.72;23.69;253.22;30.76;253.69;38.14;250.71;31.68
2018;08;21;14;00;16.40;39.00;1012.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;611.43;24.48;252.90;32.34;253.18;40.78;256.21;33.84
2018;08;21;15;00;15.72;40.00;1012.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;502.85;26.07;252.32;35.76;253.02;43.23;255.04;35.28
2018;08;21;16;00;14.59;41.00;1012.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;352.44;27.79;253.44;39.07;253.40;47.83;252.93;37.80
2018;08;21;17;00;12.91;44.00;1013.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;171.77;27.07;256.15;38.59;255.96;48.86;253.30;37.08
2018;08;21;18;00;11.21;48.00;1013.00;0.00;0.00;0.00;0.00;0.00;0.00;30.55;15.13;24.50;259.85;36.16;260.26;53.00;256.25;33.84
2018;08;21;19;00;10.10;53.00;1013.30;0.00;0.00;2.00;0.00;0.00;2.00;0.00;0.00;22.42;264.47;33.22;265.65;59.20;256.64;31.32
2018;08;21;20;00;9.19;56.00;1013.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;21.60;269.05;31.68;270.65;61.38;255.39;29.88
2018;08;21;21;00;8.20;60.00;1013.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.88;270.99;31.75;273.90;60.48;253.40;28.44
2018;08;21;22;00;9.00;67.00;1014.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25.60;266.78;33.48;270.00;69.45;245.83;29.16
2018;08;21;23;00;8.52;67.00;1013.70;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;25.29;265.10;32.40;269.36;70.42;240.95;28.44
2018;08;22;00;00;8.20;66.00;1013.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;24.65;263.29;31.70;268.05;70.60;237.28;28.08
2018;08;22;01;00;7.92;66.00;1013.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.68;261.25;31.06;265.35;69.22;234.74;25.20
2018;08;22;02;00;7.63;67.00;1013.40;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;22.38;258.87;30.41;263.88;65.67;232.13;23.40
2018;08;22;03;00;7.30;68.00;1013.30;0.00;0.00;8.00;0.00;0.00;8.00;0.00;0.00;21.32;258.31;30.19;261.77;60.80;229.80;21.60
2018;08;22;04;00;6.80;69.00;1013.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.43;255.72;30.08;258.96;54.99;225.53;20.88
2018;08;22;05;00;6.10;71.00;1014.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19.69;251.90;29.87;254.62;48.63;218.99;21.96
2018;08;22;06;00;5.65;73.00;1014.90;0.00;0.00;1.00;0.00;0.00;1.00;33.39;0.00;19.39;248.20;29.96;249.61;42.91;210.22;20.88
2018;08;22;07;00;6.01;70.00;1015.60;0.00;0.00;2.00;0.00;0.00;2.00;58.72;17.80;18.84;243.92;28.51;245.38;37.64;201.90;20.16
2018;08;22;08;00;8.86;61.00;1016.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;173.55;18.28;237.88;25.28;241.98;32.65;194.04;20.16
2018;08;22;09;00;11.97;54.00;1016.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;354.22;20.15;228.62;23.57;235.58;28.05;188.86;20.52
2018;08;22;10;00;13.48;52.00;1016.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;505.52;19.17;219.67;21.14;227.07;24.86;190.01;19.44
2018;08;22;11;00;14.58;48.00;1016.00;0.00;0.00;6.00;0.00;0.00;6.00;56.17;600.75;16.79;210.96;17.21;217.35;21.29;198.74;16.92
2018;08;22;12;00;15.29;45.00;1016.10;0.00;0.00;10.00;0.00;0.00;10.00;53.62;665.72;14.71;201.54;13.71;203.20;19.39;201.80;18.36
2018;08;22;13;00;14.56;46.00;1015.80;0.00;0.00;10.00;0.00;0.00;10.00;53.62;309.72;13.36;194.04;11.79;192.34;16.60;204.34;14.76
2018;08;22;14;00;14.48;46.00;1015.30;0.00;0.00;10.00;0.00;0.00;10.00;53.62;279.46;12.32;186.71;11.16;180.00;14.18;203.96;14.40
2018;08;22;15;00;14.37;47.00;1015.50;0.00;0.00;17.00;0.00;0.00;17.00;49.15;232.29;12.26;176.63;11.30;170.84;12.98;199.44;12.96
2018;08;22;16;00;14.32;48.00;1015.80;0.00;0.00;100.00;0.00;0.00;100.00;0.00;199.36;12.57;166.76;12.10;157.25;12.22;193.63;10.08
2018;08;22;17;00;13.36;50.00;1016.70;0.00;0.00;28.00;0.00;0.00;28.00;42.13;127.27;12.98;160.56;13.22;150.64;11.66;188.88;10.44
2018;08;22;18;00;12.03;55.00;1017.10;0.00;0.00;35.00;0.00;0.00;35.00;19.61;8.01;12.40;154.18;14.98;144.78;10.59;189.78;6.84
