Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;08;18;14;00;12.20;65.00;1005.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;604.31;25.05;7.43;28.59;5.78;34.25;39.88;29.88
2018;08;18;15;00;12.48;63.00;1006.00;0.00;0.00;1.20;4.00;0.00;0.00;59.23;590.07;24.52;3.37;28.08;0.73;33.15;34.38;29.52
2018;08;18;16;00;12.47;62.00;1006.70;0.00;0.00;2.40;8.00;0.00;0.00;58.47;548.24;23.76;360.00;27.12;354.67;32.22;39.56;28.44
2018;08;18;17;00;12.31;61.00;1007.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;484.16;21.97;358.12;24.39;351.51;29.79;43.53;27.72
2018;08;18;18;00;12.09;61.00;1007.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;392.49;19.81;357.92;21.67;348.50;26.98;45.00;25.20
2018;08;18;19;00;11.69;62.00;1007.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;290.14;17.65;357.66;19.21;347.01;24.18;45.60;25.20
2018;08;18;20;00;10.91;66.00;1008.20;0.00;0.00;0.30;1.00;0.00;0.00;59.81;182.45;15.16;355.91;15.60;341.15;21.60;53.13;22.68
2018;08;18;21;00;9.69;73.00;1008.50;0.00;0.00;29.00;82.00;29.00;0.00;41.49;87.22;12.73;351.87;14.59;344.25;19.16;61.99;24.84
2018;08;18;22;00;8.75;79.00;1009.00;0.00;0.00;81.00;4.00;81.00;0.00;5.37;7.12;10.85;354.29;13.76;353.99;15.72;69.90;24.12
2018;08;18;23;00;8.16;84.00;1009.40;0.00;0.00;42.00;10.00;42.00;0.00;0.00;0.00;9.73;2.12;12.25;1.68;11.30;80.84;21.24
2018;08;19;00;00;7.97;87.00;1010.00;0.00;0.00;52.00;100.00;52.00;0.00;0.00;0.00;8.71;7.13;10.09;2.05;6.49;93.18;18.00
2018;08;19;01;00;7.92;89.00;1010.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;7.42;14.04;8.35;7.43;4.51;118.61;14.04
2018;08;19;02;00;7.94;90.00;1010.30;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;6.03;17.35;6.16;6.71;4.10;142.13;10.44
2018;08;19;03;00;7.87;91.00;1010.10;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;5.35;19.65;5.15;12.09;3.55;156.04;9.00
